"country","region","city_state","codes_list"
"Mexico","Baja California","Industrial Pacifico I","[""22643""]"
"Nigeria","Anambra, Idemili North, Oraukwu","Iruowelle","[""434110""]"
"Spain","Andalucia, Granada","Ventas De Andar","[""18567""]"
"India","Uttar Pradesh, Kannauj","Teramallu","[""209727""]"
"India","Haryana, Kaithal","Siwan","[""136033""]"
"Romania","Valcea","Alunu","[""247005""]"
"China","Jiangsu, Tongzhou City","Beixingqiao Township","[""226337""]"
"Italy","Lombardia, Sondrio","Trepalle","[""23030""]"
"Poland","Lodz Voivodeship, Powiat Tomaszowski","Chorzecin","[""97-200""]"
"Brazil","Bahia","Central","[""44940-000""]"
"Poland","Mazovia, Powiat Zwolenski","Barycz-Kolonia","[""26-700""]"
"Afghanistan","Kapisa, Nijrab","Do - Qoumy","[""1255""]"
"India","Telangana, Nalgonda","Mandra","[""508114""]"
"Ukraine","Zhytomyr Oblast, Chervonoarmiiskyi","Pavlivka","[""12054""]"
"Nigeria","Kaduna, Kaura, Magagum","Zangang","[""801134""]"
"Nigeria","Yobe, Bade, Kwaji","Mika-Isoho-Gari","[""661102""]"
"China","Shandong, Guan County","Ganguantun Township","[""252519""]"
"Ukraine","Sumy Oblast, Nedryhailivskyi","Besedivka","[""42135""]"
"Algeria","Tizi-Ouzou","Aifane","[""15069""]"
"Lithuania","Siauliai County","Megucioniu K.","[""83046""]"
"Ukraine","Donetsk Oblast, Slovianskyi","Troitske","[""84161""]"
"Mongolia","Tov, Jargalant","Uguumur","[""41203""]"
"Colombia","Cordoba, Monteria","Guadalajara","[""230003""]"
"China","Guangdong, Qujiang County","Maba Town","[""512100""]"
"Nigeria","Ogun, Obafemi Owode, Onidundu","Boto","[""110112""]"
"Mexico","Tabasco","Campo Alto","[""86935"",""86947""]"
"Romania","Giurgiu","Gogosari","[""087100""]"
"Japan","Tochigi Ken, Sakura Shi","Ujiie","[""329-1311"",""329-1395"",""329-1393"",""329-1392""]"
"Afghanistan","Daykundi, Ishtarlay","Chacha","[""4255""]"
"Mexico","Coahuila De Zaragoza","Residencial Los Fresnos","[""27018""]"
"Hungary","Vas","Viszak","[""9932""]"
"Russian Federation","Volgogradskaya Oblast","Kamyshin","[""403870""]"
"Italy","Trentino-Alto Adige, Trento","Madonna Di Campiglio","[""38086""]"
"Lithuania","Klaipeda County","Milvydziu K.","[""98050""]"
"Austria","Oberosterreich, Politischer Bezirk Ried Im Innkreis, Sankt Marienkirchen Am Hausruck","Pilgersham","[""4926""]"
"Belarus","Vitebsk Province, Chashniki District, Oktyabrskiy Council","Boyary","[""211154""]"
"Maldives","Male, Majeedhee Magu","National Thallasaemea Centre","[""20040""]"
"Japan","Hokkaido, Tomakomai Shi","Keihokucho","[""053-0854""]"
"Japan","Fukushima Ken, Minamisoma Shi","Kashimaku Kamitochikubo","[""979-2462""]"
"Mexico","Jalisco","Mirador Escondido","[""45189""]"
"Mexico","Tlaxcala","Atzacoalco","[""90444""]"
"Japan","Hokkaido, Kitami Shi","Rubeshibecho Mizuho","[""091-0017""]"
"Algeria","El-Taref","Chihani","[""36014""]"
"Russian Federation","Dagestan Respublika","Tsekob","[""368437""]"
"Indonesia","North Sulawesi, Tomohon","Rurukan","[""95447""]"
"Colombia","Tolima, Cajamarca","La Union","[""732501""]"
"Poland","West Pomerania, Powiat Drawski","Karsno","[""78-550""]"
"France","Grand Est, Bas-Rhin","Kesseldorf","[""67930""]"
"Morocco","Beni Mellal-Khenifra, Khenifra","Kerrouchen","[""54302""]"
"Belarus","Vitebsk Province, Polotsk District, Zelenkovskiy Council","Zaenki","[""211423""]"
"Lithuania","Panevezys","Ropiskio K.","[""40030""]"
"Afghanistan","Baghlan, Tala Wa Barfak","Kaihani Ganwado","[""3651""]"
"Spain","Pais Vasco, Alava","Berrikano","[""01138""]"
"Poland","Mazovia, Powiat Wegrowski","Ruchna","[""07-100""]"
"India","Uttar Pradesh, Kheri, Palia","Basahi","[""262904""]"
"Russian Federation","Irkutskaya Oblast","Harety","[""669405""]"
"Ukraine","Rivne Oblast, Zdolbunivskyi","Bohdashiv","[""35707""]"
"Turkey","Yozgat","Basibuyuklu","[""66000""]"
"Austria","Karnten, Politischer Bezirk Feldkirchen, Himmelberg","Kosting","[""9562""]"
"Latvia","Valmiera","Valkas Iela","[""LV""]"
"Japan","Kyoto Fu, Kyoto Shi","Sakuranocho","[""604-8035""]"
"Romania","Arges","Poduri","[""117288""]"
"India","Chattisgarh, Kawardha","Sarangpurkhurd","[""491995""]"
"Japan","Mie Ken, Owase Shi","Sakabacho","[""519-3664""]"
"Croatia","Koprivnicko-Krizevacka","Gregurovec","[""48260""]"
"Russian Federation","Omskaya Oblast","Moskalenki","[""646070""]"
"Croatia","Bjelovarsko-Bilogorska","Mali Grdevac","[""43270""]"
"India","Karnataka, Chitradurga","Kolahalu","[""577519""]"
"China","Henan, Xi County","Yangdian Township","[""464313""]"
"Italy","Trentino-Alto Adige, Bolzano-Bozen","Aldino","[""39040""]"
"Mexico","Jalisco","Rinconada El Cangrejo","[""48902""]"
"United States","Louisiana, Bienville","Gibsland","[""71028""]"
"Poland","Pomerania, Powiat Starogardzki","Czarnocin","[""83-250""]"
"Afghanistan","Ghor, Taywara","Awalya","[""3252""]"
"Spain","Asturias","La Polina","[""33993""]"
"Japan","Fukushima Ken, Koriyama Shi","Bizendate","[""963-8044""]"
"Albania","Diber, Kastriot","Kastriot","[""8305""]"
"Poland","Greater Poland, Powiat Miedzychodzki","Wiktorowo","[""64-421""]"
"Peru","Ancash, Bolognesi, Abelardo Pardo Lezameta","Pucton Alto","[""02435""]"
"Mexico","Hidalgo","San Carlos","[""42084"",""42182"",""42824"",""43763""]"
"Mexico","Mexico","La Mancha Iii","[""53714""]"
"United States","Kentucky, Pike","Kimper","[""41539""]"
"Malaysia","Kedah","Alor Star","[""05150"",""05350"",""05400"",""05460"",""06250"",""06550""]"
"Australia","Queensland, Central Qld","Mia Mia","[""4754""]"
"Japan","Nara Ken, Takaichi Gun","Takatori","[""635-0101""]"
"India","Madhya Pradesh, Shahdol, Sohagpur","Bemhori","[""484110""]"
"Belarus","Vitebsk Province, Polotsk District, Nachskiy Council","Logovcy","[""211431""]"
